iter	Passed	Remaining
887	2269	286
888	2272	283
889	2274	281
890	2276	278
891	2279	275
892	2282	273
893	2284	270
894	2287	268
895	2289	265
896	2291	263
897	2294	260
898	2296	258
899	2298	255
900	2301	252
901	2303	250
902	2305	247
903	2307	245
904	2309	242
905	2312	239
906	2314	237
907	2316	234
908	2319	232
909	2321	229
910	2323	227
911	2325	224
912	2328	221
913	2330	219
914	2332	216
915	2335	214
916	2337	211
917	2339	208
918	2342	206
919	2344	203
920	2347	201
921	2349	198
922	2351	196
923	2354	193
924	2356	191
925	2358	188
926	2361	185
927	2364	183
928	2366	180
929	2368	178
930	2371	175
931	2373	173
932	2375	170
933	2378	168
934	2381	165
935	2383	162
936	2386	160
937	2388	157
938	2390	155
939	2393	152
940	2395	150
941	2397	147
942	2399	145
943	2401	142
944	2404	139
945	2406	137
946	2409	134
947	2412	132
948	2414	129
949	2416	127
950	2419	124
951	2421	122
952	2424	119
953	2427	117
954	2430	114
955	2432	111
956	2434	109
957	2436	106
958	2439	104
959	2441	101
960	2444	99
961	2447	96
962	2449	94
963	2452	91
964	2454	89
965	2457	86
966	2460	83
967	2463	81
968	2465	78
969	2467	76
970	2470	73
971	2473	71
972	2475	68
973	2478	66
974	2480	63
975	2483	61
976	2486	58
977	2489	55
978	2492	53
979	2494	50
980	2496	48
981	2499	45
982	2501	43
983	2504	40
984	2506	38
985	2509	35
986	2512	33
987	2514	30
988	2517	27
989	2519	25
990	2522	22
991	2524	20
992	2527	17
993	2529	15
994	2531	12
995	2534	10
996	2537	7
997	2540	5
998	2542	2
999	2545	0
